rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1","Montreal Canadiens","MTL","74","42","22","10","94",".635","236","167","1.07","0.14","5.45","50","245","20.41","34","205","83.41","7","3","2324","10.2","","",""
"2","New York Rangers","NYR","74","39","23","12","90",".608","226","183","0.76","0.18","5.53","46","217","21.20","42","223","81.17","1","7","2463","9.2","","",""
"3","Boston Bruins","BOS","74","37","27","10","84",".568","259","216","0.76","0.18","6.42","45","236","19.07","50","288","82.64","10","4","2466","10.5","","",""
"4","Chicago Black Hawks","CBH","74","32","26","16","80",".541","212","222","0.13","0.26","5.86","37","234","15.81","37","218","83.03","9","6","2135","9.9","","",""
"5","Toronto Maple Leafs","TOR","74","33","31","10","76",".514","209","176","0.64","0.19","5.20","33","231","14.29","28","230","87.83","6","8","2436","8.6","","",""
"6","Philadelphia Flyers","PHI","74","31","32","11","73",".493","173","179","-0.32","-0.24","4.76","33","269","12.27","49","290","83.10","7","2","1882","9.2","","",""
"7","Los Angeles Kings","LAK","74","31","33","10","72",".486","200","224","-0.53","-0.21","5.73","33","241","13.69","54","274","80.29","5","3","2284","8.8","","",""
"8","St. Louis Blues","STL","74","27","31","16","70",".473","177","191","-0.41","-0.23","4.97","38","223","17.04","39","245","84.08","10","7","2223","8.0","","",""
"9","Minnesota North Stars","MNS","74","27","32","15","69",".466","191","226","-0.66","-0.19","5.64","55","261","21.07","29","216","86.57","1","6","2115","9.0","","",""
"10","Pittsburgh Penguins","PIT","74","27","34","13","67",".453","195","216","-0.50","-0.21","5.55","37","273","13.55","30","195","84.62","2","11","2276","8.6","","",""
"11","Detroit Red Wings","DET","74","27","35","12","66",".446","245","257","0.10","0.27","6.78","43","224","19.20","54","270","80.00","4","5","2456","10.0","","",""
"12","Oakland Seals","OAK","74","15","42","17","47",".318","153","219","-1.03","-0.14","5.03","41","259","15.83","45","259","82.63","6","6","1826","8.4","","",""
