rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1","Montreal Canadiens","MTL","80","58","11","11","127",".794","337","174","1.91","-0.13","6.39","75","282","26.60","44","290","84.83","7","0","2733","12.3","","",""
"2","Philadelphia Flyers","PHI","80","51","13","16","118",".738","348","209","1.62","-0.12","6.96","83","290","28.62","83","480","82.71","14","4","2997","11.6","","",""
"3","Boston Bruins","BOS","80","48","15","17","113",".706","313","237","0.93","-0.02","6.88","77","289","26.64","56","345","83.77","9","6","2646","11.8","","",""
"4","Buffalo Sabres","BUF","80","46","21","13","105",".656","339","240","1.19","-0.05","7.24","73","287","25.44","51","304","83.22","6","8","2717","12.5","","",""
"5","New York Islanders","NYI","80","42","21","17","101",".631","297","190","1.26","-0.08","6.09","92","290","31.72","55","377","85.41","11","4","2435","12.2","","",""
"6","Los Angeles Kings","LAK","80","38","33","9","85",".531","263","265","-0.01","0.02","6.60","61","334","18.26","55","298","81.54","8","12","2319","11.3","","",""
"7","Toronto Maple Leafs","TOR","80","34","31","15","83",".519","294","276","0.27","0.04","7.13","67","348","19.25","77","321","76.01","11","9","2694","10.9","","",""
"8","Pittsburgh Penguins","PIT","80","35","33","12","82",".513","339","303","0.43","-0.02","8.03","75","307","24.43","68","292","76.71","8","13","2694","12.6","","",""
"9","Chicago Black Hawks","CBH","80","32","30","18","82",".513","254","261","-0.15","-0.06","6.44","72","341","21.11","53","305","82.62","9","8","2351","10.8","","",""
"10","Atlanta Flames","ATF","80","35","33","12","82",".513","262","237","0.31","0.00","6.24","56","292","19.18","43","277","84.48","7","5","2442","10.7","","",""
"11","Vancouver Canucks","VAN","80","33","32","15","81",".506","271","272","-0.08","-0.07","6.79","68","345","19.71","71","291","75.60","6","9","2378","11.4","","",""
"12","St. Louis Blues","STL","80","29","37","14","72",".450","249","290","-0.54","-0.03","6.74","55","298","18.46","98","376","73.94","21","3","2355","10.6","","",""
"13","New York Rangers","NYR","80","29","42","9","67",".419","262","333","-0.80","0.08","7.44","67","323","20.74","68","277","75.45","3","11","2640","9.9","","",""
"14","California Golden Seals","CGS","80","27","42","11","65",".406","250","278","-0.26","0.09","6.60","71","382","18.59","52","262","80.15","9","10","2296","10.9","","",""
"15","Detroit Red Wings","DET","80","26","44","10","62",".388","226","300","-0.85","0.08","6.58","47","307","15.31","86","422","79.62","9","6","2272","9.9","","",""
"16","Minnesota North Stars","MNS","80","20","53","7","47",".294","195","303","-1.32","0.03","6.23","48","331","14.50","82","309","73.46","2","16","1954","10.0","","",""
"17","Kansas City Scouts","KCS","80","12","56","12","36",".225","190","351","-1.94","0.07","6.76","46","352","13.07","80","295","72.88","2","17","2192","8.7","","",""
"18","Washington Capitals","WSH","80","11","59","10","32",".200","224","394","-1.96","0.16","7.73","53","375","14.13","64","252","74.60","2","3","1953","11.5","","",""
